
--- [START 2018-11-12_01-05-46] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = C:\Users\Admin\Desktop\doodle\code
	__file__     = baseline_25k
	out_dir      = ../../output

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 320
train_dataset : 
	split        = train_0
	mode         = train
	complexity   = simplified
	len(self.id) = 8500000


valid_dataset : 
	split        = valid_0
	mode         = train
	complexity   = simplified
	len(self.id) = 27200



** net setting **
	initial_checkpoint = ../../output/backup/color_model_885.pth
<class 'model_seresnext50.Net'>
criterion=<function softmax_cross_entropy_criterion at 0x000001F743A0B0D0>

schduler
  (Exp) Decay Learning Rates
base_lr=0.010, decay=0.100, step=53125.000

** start training here! **
                    |------------ VALID -------------|-------- TRAIN/BATCH ----------|         
rate   iter  epoch  | loss   acc-1  acc-3   lb       | loss   acc-1  acc-3   lb      |  time   
----------------------------------------------------------------------------------------------------
0.0100  39.4    1.5 | 0.772  0.799  0.925  (0.857)   | 0.761  0.805  0.927  (0.861)  | 14 hr 09 min
0.0100  39.5    1.5 | 0.747  0.805  0.928  (0.862)   | 0.754  0.810  0.928  (0.864)  | 14 hr 12 min
0.0100  39.6    1.5 | 0.789  0.795  0.923  (0.854)   | 0.765  0.809  0.925  (0.863)  | 14 hr 14 min
0.0100  39.7    1.5 | 0.757  0.804  0.928  (0.861)   | 0.726  0.817  0.932  (0.870)  | 14 hr 16 min
0.0100  39.8    1.5 | 0.748  0.805  0.929  (0.862)   | 0.759  0.806  0.928  (0.863)  | 14 hr 18 min
0.0100  39.9    1.5 | 0.753  0.805  0.928  (0.862)   | 0.767  0.810  0.927  (0.864)  | 14 hr 20 min
0.0100  40.0    1.5 | 0.753  0.806  0.927  (0.862)*  | 0.701  0.821  0.935  (0.874)  | 14 hr 22 min
0.0100  40.1    1.5 | 0.757  0.802  0.928  (0.860)   | 0.750  0.805  0.930  (0.863)  | 14 hr 24 min
0.0100  40.2    1.5 | 0.770  0.799  0.926  (0.858)   | 0.718  0.812  0.934  (0.868)  | 14 hr 27 min
0.0100  40.3    1.5 | 0.753  0.804  0.929  (0.862)   | 0.759  0.811  0.924  (0.863)  | 14 hr 29 min
0.0100  40.4    1.5 | 0.772  0.801  0.926  (0.858)   | 0.767  0.807  0.928  (0.863)  | 14 hr 31 min
0.0100  40.5    1.5 | 0.743  0.807  0.929  (0.863)   | 0.762  0.814  0.925  (0.865)  | 14 hr 33 min
0.0100  40.6    1.5 | 0.756  0.804  0.927  (0.861)   | 0.739  0.809  0.930  (0.864)  | 14 hr 35 min
0.0100  40.7    1.5 | 0.756  0.804  0.928  (0.861)   | 0.752  0.809  0.928  (0.864)  | 14 hr 37 min
0.0100  40.8    1.5 | 0.764  0.801  0.926  (0.859)   | 0.756  0.813  0.925  (0.865)  | 14 hr 40 min
0.0100  40.9    1.5 | 0.778  0.797  0.925  (0.856)   | 0.753  0.814  0.928  (0.866)  | 14 hr 42 min
0.0100  41.0    1.5 | 0.749  0.805  0.929  (0.862)   | 0.763  0.810  0.928  (0.865)  | 14 hr 44 min
0.0100  41.1    1.5 | 0.768  0.803  0.926  (0.860)   | 0.758  0.806  0.928  (0.862)  | 14 hr 46 min
0.0100  41.2    1.6 | 0.748  0.806  0.930  (0.863)   | 0.769  0.804  0.930  (0.862)  | 14 hr 48 min
0.0100  41.3    1.6 | 0.756  0.807  0.927  (0.862)   | 0.734  0.813  0.931  (0.867)  | 14 hr 50 min
0.0100  41.4    1.6 | 0.757  0.804  0.928  (0.861)   | 0.696  0.823  0.932  (0.873)  | 14 hr 52 min
0.0100  41.5    1.6 | 0.782  0.796  0.925  (0.855)   | 0.759  0.808  0.926  (0.863)  | 14 hr 55 min
0.0100  41.6    1.6 | 0.752  0.805  0.929  (0.862)   | 0.708  0.820  0.935  (0.873)  | 14 hr 57 min
0.0100  41.7    1.6 | 0.755  0.804  0.928  (0.862)   | 0.777  0.808  0.923  (0.861)  | 14 hr 59 min
0.0100  41.8    1.6 | 0.784  0.797  0.924  (0.855)   | 0.745  0.812  0.930  (0.867)  | 15 hr 01 min
0.0100  41.9    1.6 | 0.762  0.799  0.927  (0.858)   | 0.738  0.809  0.931  (0.865)  | 15 hr 03 min
0.0100  42.0    1.6 | 0.771  0.798  0.926  (0.857)*  | 0.758  0.806  0.929  (0.863)  | 15 hr 05 min
0.0100  42.1    1.6 | 0.762  0.800  0.927  (0.859)   | 0.762  0.806  0.929  (0.864)  | 15 hr 07 min
0.0100  42.2    1.6 | 0.771  0.801  0.926  (0.858)   | 0.796  0.800  0.926  (0.859)  | 15 hr 10 min
0.0100  42.3    1.6 | 0.766  0.801  0.927  (0.859)   | 0.761  0.805  0.929  (0.862)  | 15 hr 12 min
0.0100  42.4    1.6 | 0.757  0.805  0.928  (0.862)   | 0.767  0.804  0.925  (0.860)  | 15 hr 14 min
0.0100  42.5    1.6 | 0.755  0.803  0.928  (0.861)   | 0.781  0.802  0.925  (0.859)  | 15 hr 16 min
0.0100  42.6    1.6 | 0.768  0.801  0.927  (0.859)   | 0.759  0.813  0.929  (0.866)  | 15 hr 18 min
0.0100  42.7    1.6 | 0.763  0.802  0.927  (0.860)   | 0.748  0.810  0.930  (0.865)  | 15 hr 20 min
0.0100  42.8    1.6 | 0.772  0.801  0.924  (0.858)   | 0.759  0.811  0.931  (0.867)  | 15 hr 22 min
0.0100  42.9    1.6 | 0.745  0.806  0.928  (0.862)   | 0.776  0.801  0.926  (0.859)  | 15 hr 25 min
0.0100  43.0    1.6 | 0.768  0.801  0.925  (0.858)   | 0.743  0.813  0.928  (0.866)  | 15 hr 27 min
0.0100  43.1    1.6 | 0.783  0.797  0.924  (0.856)   | 0.778  0.796  0.926  (0.857)  | 15 hr 29 min
0.0100  43.2    1.6 | 0.747  0.806  0.928  (0.863)   | 0.769  0.801  0.924  (0.858)  | 15 hr 31 min
0.0100  43.3    1.6 | 0.792  0.794  0.922  (0.853)   | 0.762  0.807  0.930  (0.863)  | 15 hr 33 min
0.0100  43.4    1.6 | 0.772  0.802  0.925  (0.859)   | 0.746  0.807  0.931  (0.864)  | 15 hr 35 min
0.0100  43.5    1.6 | 0.797  0.793  0.922  (0.853)   | 0.739  0.814  0.933  (0.869)  | 15 hr 38 min
0.0100  43.6    1.6 | 0.755  0.804  0.928  (0.861)   | 0.779  0.802  0.927  (0.860)  | 15 hr 40 min
0.0100  43.7    1.6 | 0.774  0.800  0.925  (0.857)   | 0.741  0.812  0.933  (0.868)  | 15 hr 42 min
0.0100  43.8    1.6 | 0.774  0.799  0.923  (0.856)   | 0.751  0.806  0.927  (0.862)  | 15 hr 44 min
0.0100  43.9    1.7 | 0.762  0.802  0.927  (0.860)   | 0.740  0.814  0.930  (0.867)  | 15 hr 46 min
0.0100  44.0    1.7 | 0.765  0.802  0.926  (0.859)*  | 0.766  0.803  0.928  (0.861)  | 15 hr 48 min
0.0100  44.1    1.7 | 0.769  0.799  0.927  (0.858)   | 0.745  0.809  0.930  (0.865)  | 15 hr 50 min
0.0100  44.2    1.7 | 0.771  0.800  0.927  (0.858)   | 0.740  0.808  0.935  (0.867)  | 15 hr 53 min
0.0100  44.3    1.7 | 0.759  0.802  0.928  (0.860)   | 0.780  0.801  0.929  (0.860)  | 15 hr 55 min
0.0100  44.4    1.7 | 0.779  0.797  0.925  (0.856)   | 0.756  0.806  0.927  (0.862)  | 15 hr 57 min
0.0100  44.5    1.7 | 0.788  0.795  0.924  (0.854)   | 0.786  0.802  0.927  (0.860)  | 15 hr 59 min
0.0100  44.6    1.7 | 0.781  0.798  0.924  (0.856)   | 0.756  0.806  0.931  (0.864)  | 16 hr 01 min
0.0100  44.7    1.7 | 0.751  0.804  0.929  (0.862)   | 0.735  0.811  0.930  (0.867)  | 16 hr 03 min
0.0100  44.8    1.7 | 0.757  0.802  0.927  (0.860)   | 0.768  0.809  0.928  (0.864)  | 16 hr 05 min
0.0100  44.9    1.7 | 0.749  0.804  0.929  (0.861)   | 0.767  0.808  0.925  (0.862)  | 16 hr 08 min
0.0100  45.0    1.7 | 0.748  0.807  0.929  (0.863)   | 0.764  0.808  0.926  (0.862)  | 16 hr 10 min
0.0100  45.1    1.7 | 0.751  0.806  0.928  (0.862)   | 0.762  0.808  0.930  (0.864)  | 16 hr 12 min
0.0100  45.2    1.7 | 0.754  0.803  0.929  (0.861)   | 0.732  0.817  0.929  (0.869)  | 16 hr 14 min
0.0100  45.3    1.7 | 0.767  0.800  0.926  (0.858)   | 0.738  0.811  0.930  (0.866)  | 16 hr 16 min
0.0100  45.4    1.7 | 0.760  0.802  0.927  (0.860)   | 0.765  0.809  0.927  (0.863)  | 16 hr 18 min
0.0100  45.5    1.7 | 0.771  0.801  0.928  (0.859)   | 0.785  0.802  0.925  (0.858)  | 16 hr 21 min
0.0100  45.6    1.7 | 0.778  0.797  0.926  (0.857)   | 0.747  0.814  0.927  (0.866)  | 16 hr 23 min
0.0100  45.7    1.7 | 0.775  0.799  0.925  (0.857)   | 0.762  0.809  0.928  (0.864)  | 16 hr 25 min
0.0100  45.8    1.7 | 0.787  0.796  0.922  (0.854)   | 0.765  0.806  0.927  (0.862)  | 16 hr 27 min
0.0100  45.9    1.7 | 0.761  0.802  0.926  (0.859)   | 0.741  0.813  0.930  (0.867)  | 16 hr 29 min
0.0100  46.0    1.7 | 0.771  0.801  0.925  (0.858)*  | 0.729  0.817  0.933  (0.870)  | 16 hr 31 min
0.0100  46.1    1.7 | 0.739  0.808  0.930  (0.865)   | 0.740  0.814  0.930  (0.867)  | 16 hr 33 min
0.0100  46.2    1.7 | 0.761  0.803  0.927  (0.860)   | 0.720  0.814  0.934  (0.869)  | 16 hr 36 min
0.0100  46.3    1.7 | 0.746  0.805  0.929  (0.862)   | 0.724  0.817  0.932  (0.870)  | 16 hr 38 min
0.0100  46.4    1.7 | 0.752  0.804  0.929  (0.862)   | 0.742  0.811  0.927  (0.865)  | 16 hr 40 min
0.0100  46.5    1.8 | 0.752  0.804  0.929  (0.861)   | 0.767  0.807  0.926  (0.862)  | 16 hr 42 min
0.0100  46.6    1.8 | 0.764  0.800  0.927  (0.859)   | 0.779  0.815  0.926  (0.866)  | 16 hr 44 min
0.0100  46.7    1.8 | 0.774  0.798  0.925  (0.857)   | 0.756  0.812  0.930  (0.866)  | 16 hr 46 min
0.0100  46.8    1.8 | 0.766  0.801  0.927  (0.859)   | 0.741  0.808  0.931  (0.865)  | 16 hr 48 min
0.0100  46.9    1.8 | 0.772  0.799  0.926  (0.857)   | 0.727  0.811  0.935  (0.868)  | 16 hr 51 min
0.0100  47.0    1.8 | 0.752  0.805  0.929  (0.862)   | 0.737  0.812  0.928  (0.865)  | 16 hr 53 min
0.0100  47.1    1.8 | 0.760  0.803  0.928  (0.860)   | 0.761  0.810  0.927  (0.863)  | 16 hr 55 min
0.0100  47.2    1.8 | 0.763  0.802  0.927  (0.860)   | 0.744  0.811  0.932  (0.867)  | 16 hr 57 min
0.0100  47.3    1.8 | 0.776  0.798  0.924  (0.856)   | 0.727  0.819  0.932  (0.871)  | 16 hr 59 min
0.0100  47.4    1.8 | 0.747  0.805  0.928  (0.862)   | 0.774  0.810  0.925  (0.863)  | 17 hr 01 min
0.0100  47.5    1.8 | 0.781  0.799  0.923  (0.856)   | 0.784  0.804  0.923  (0.860)  | 17 hr 03 min
0.0100  47.6    1.8 | 0.753  0.806  0.928  (0.862)   | 0.734  0.813  0.930  (0.868)  | 17 hr 06 min
0.0100  47.7    1.8 | 0.756  0.804  0.929  (0.861)   | 0.745  0.812  0.930  (0.866)  | 17 hr 08 min
0.0100  47.8    1.8 | 0.746  0.806  0.930  (0.863)   | 0.755  0.805  0.931  (0.863)  | 17 hr 10 min
0.0100  47.9    1.8 | 0.769  0.800  0.926  (0.858)   | 0.736  0.816  0.931  (0.869)  | 17 hr 12 min
0.0100  48.0    1.8 | 0.761  0.805  0.927  (0.861)*  | 0.728  0.815  0.935  (0.870)  | 17 hr 14 min
0.0100  48.1    1.8 | 0.761  0.802  0.927  (0.860)   | 0.748  0.814  0.930  (0.868)  | 17 hr 16 min
0.0100  48.2    1.8 | 0.754  0.805  0.927  (0.861)   | 0.737  0.810  0.928  (0.866)  | 17 hr 18 min
0.0100  48.3    1.8 | 0.744  0.807  0.929  (0.863)   | 0.745  0.808  0.930  (0.865)  | 17 hr 21 min
0.0100  48.4    1.8 | 0.753  0.804  0.929  (0.861)   | 0.770  0.810  0.927  (0.864)  | 17 hr 23 min
0.0100  48.5    1.8 | 0.760  0.805  0.927  (0.861)   | 0.738  0.810  0.929  (0.865)  | 17 hr 25 min
0.0100  48.6    1.8 | 0.759  0.803  0.926  (0.859)   | 0.766  0.809  0.924  (0.862)  | 17 hr 27 min
0.0100  48.7    1.8 | 0.784  0.795  0.921  (0.853)   | 0.722  0.814  0.931  (0.869)  | 17 hr 29 min
0.0100  48.8    1.8 | 0.749  0.806  0.928  (0.863)   | 0.754  0.809  0.928  (0.863)  | 17 hr 31 min
0.0100  48.9    1.8 | 0.745  0.805  0.929  (0.862)   | 0.748  0.814  0.930  (0.868)  | 17 hr 34 min
0.0100  49.0    1.8 | 0.738  0.807  0.929  (0.864)   | 0.741  0.812  0.929  (0.866)  | 17 hr 36 min
0.0100  49.1    1.8 | 0.748  0.806  0.928  (0.862)   | 0.753  0.814  0.927  (0.866)  | 17 hr 38 min
0.0100  49.2    1.9 | 0.769  0.799  0.925  (0.857)   | 0.744  0.812  0.929  (0.866)  | 17 hr 40 min
0.0100  49.3    1.9 | 0.746  0.806  0.929  (0.862)   | 0.714  0.817  0.934  (0.871)  | 17 hr 42 min
0.0100  49.4    1.9 | 0.769  0.801  0.925  (0.858)   | 0.759  0.805  0.929  (0.862)  | 17 hr 44 min
0.0100  49.5    1.9 | 0.754  0.803  0.926  (0.860)   | 0.786  0.800  0.928  (0.859)  | 17 hr 46 min
0.0100  49.6    1.9 | 0.747  0.807  0.928  (0.863)   | 0.785  0.800  0.922  (0.856)  | 17 hr 49 min
0.0100  49.7    1.9 | 0.747  0.806  0.928  (0.862)   | 0.761  0.811  0.930  (0.866)  | 17 hr 51 min
0.0100  49.8    1.9 | 0.748  0.806  0.927  (0.862)   | 0.784  0.800  0.926  (0.858)  | 17 hr 53 min
0.0100  49.9    1.9 | 0.735  0.809  0.929  (0.865)   | 0.756  0.806  0.927  (0.863)  | 17 hr 55 min
0.0100  50.0    1.9 | 0.755  0.804  0.927  (0.861)*  | 0.781  0.807  0.923  (0.860)  | 17 hr 57 min
0.0100  50.1    1.9 | 0.753  0.804  0.928  (0.861)   | 0.759  0.811  0.931  (0.866)  | 17 hr 59 min
0.0100  50.2    1.9 | 0.747  0.804  0.928  (0.861)   | 0.783  0.806  0.921  (0.859)  | 18 hr 01 min
0.0100  50.3    1.9 | 0.742  0.808  0.930  (0.864)   | 0.725  0.814  0.929  (0.868)  | 18 hr 04 min
0.0100  50.4    1.9 | 0.764  0.802  0.927  (0.859)   | 0.754  0.812  0.928  (0.865)  | 18 hr 06 min
0.0100  50.5    1.9 | 0.759  0.802  0.927  (0.860)   | 0.749  0.805  0.929  (0.863)  | 18 hr 08 min
0.0100  50.6    1.9 | 0.759  0.804  0.928  (0.861)   | 0.737  0.817  0.930  (0.869)  | 18 hr 10 min
0.0100  50.7    1.9 | 0.759  0.800  0.929  (0.860)   | 0.750  0.809  0.930  (0.864)  | 18 hr 12 min
0.0100  50.8    1.9 | 0.740  0.808  0.930  (0.864)   | 0.744  0.813  0.931  (0.867)  | 18 hr 14 min
0.0100  50.9    1.9 | 0.756  0.803  0.929  (0.861)   | 0.769  0.807  0.928  (0.863)  | 18 hr 16 min
0.0100  51.0    1.9 | 0.757  0.802  0.927  (0.860)   | 0.746  0.807  0.927  (0.863)  | 18 hr 19 min
0.0100  51.1    1.9 | 0.748  0.805  0.930  (0.863)   | 0.748  0.813  0.929  (0.867)  | 18 hr 21 min
0.0100  51.2    1.9 | 0.750  0.807  0.929  (0.864)   | 0.735  0.810  0.929  (0.865)  | 18 hr 23 min
0.0100  51.3    1.9 | 0.738  0.808  0.930  (0.864)   | 0.741  0.810  0.927  (0.864)  | 18 hr 25 min
0.0100  51.4    1.9 | 0.756  0.802  0.928  (0.860)   | 0.732  0.814  0.932  (0.868)  | 18 hr 27 min
0.0100  51.5    1.9 | 0.752  0.805  0.928  (0.861)   | 0.748  0.806  0.929  (0.863)  | 18 hr 29 min
0.0100  51.6    1.9 | 0.756  0.803  0.927  (0.860)   | 0.741  0.812  0.931  (0.867)  | 18 hr 31 min
0.0100  51.7    1.9 | 0.766  0.804  0.925  (0.859)   | 0.759  0.812  0.926  (0.864)  | 18 hr 34 min
0.0100  51.8    2.0 | 0.749  0.805  0.928  (0.862)   | 0.760  0.803  0.928  (0.861)  | 18 hr 36 min
0.0100  51.9    2.0 | 0.739  0.807  0.930  (0.864)   | 0.773  0.807  0.927  (0.862)  | 18 hr 38 min
0.0100  52.0    2.0 | 0.753  0.803  0.927  (0.860)*  | 0.781  0.800  0.922  (0.857)  | 18 hr 40 min
0.0100  52.1    2.0 | 0.748  0.805  0.929  (0.862)   | 0.718  0.814  0.935  (0.870)  | 18 hr 42 min
0.0100  52.2    2.0 | 0.729  0.809  0.930  (0.865)   | 0.772  0.806  0.924  (0.860)  | 18 hr 44 min
0.0100  52.3    2.0 | 0.758  0.804  0.927  (0.861)   | 0.734  0.818  0.928  (0.869)  | 18 hr 47 min
0.0100  52.4    2.0 | 0.754  0.806  0.928  (0.862)   | 0.755  0.809  0.929  (0.865)  | 18 hr 49 min
0.0100  52.5    2.0 | 0.738  0.809  0.931  (0.865)   | 0.758  0.812  0.928  (0.866)  | 18 hr 51 min
0.0100  52.6    2.0 | 0.742  0.807  0.930  (0.864)   | 0.735  0.816  0.928  (0.868)  | 18 hr 53 min
0.0100  52.7    2.0 | 0.758  0.804  0.927  (0.861)   | 0.749  0.812  0.930  (0.866)  | 18 hr 55 min
0.0100  52.8    2.0 | 0.753  0.806  0.928  (0.862)   | 0.759  0.805  0.929  (0.862)  | 18 hr 57 min
0.0100  52.9    2.0 | 0.742  0.808  0.930  (0.864)   | 0.748  0.807  0.927  (0.863)  | 18 hr 59 min
0.0100  53.0    2.0 | 0.756  0.805  0.927  (0.862)   | 0.740  0.811  0.933  (0.868)  | 19 hr 02 min
0.0100  53.1    2.0 | 0.755  0.805  0.929  (0.862)   | 0.778  0.804  0.926  (0.860)  | 19 hr 04 min
0.0010  53.2    2.0 | 0.735  0.809  0.931  (0.865)   | 0.721  0.813  0.934  (0.869)  | 19 hr 06 min
0.0010  53.3    2.0 | 0.724  0.813  0.932  (0.868)   | 0.695  0.818  0.935  (0.871)  | 19 hr 08 min
0.0010  53.4    2.0 | 0.722  0.813  0.932  (0.868)   | 0.675  0.824  0.937  (0.876)  | 19 hr 10 min
0.0010  53.5    2.0 | 0.720  0.814  0.932  (0.869)   | 0.688  0.823  0.934  (0.874)  | 19 hr 12 min
0.0010  53.6    2.0 | 0.715  0.815  0.933  (0.869)   | 0.681  0.828  0.931  (0.876)  | 19 hr 15 min
0.0010  53.7    2.0 | 0.715  0.815  0.933  (0.870)   | 0.686  0.824  0.936  (0.876)  | 19 hr 17 min
0.0010  53.8    2.0 | 0.716  0.816  0.933  (0.870)   | 0.685  0.824  0.938  (0.877)  | 19 hr 19 min
0.0010  53.9    2.0 | 0.710  0.817  0.933  (0.870)   | 0.691  0.819  0.936  (0.873)  | 19 hr 21 min
0.0010  54.0    2.0 | 0.710  0.817  0.933  (0.871)*  | 0.653  0.829  0.942  (0.880)  | 19 hr 23 min
0.0010  54.1    2.0 | 0.709  0.816  0.933  (0.870)   | 0.663  0.830  0.940  (0.881)  | 19 hr 25 min
0.0010  54.2    2.0 | 0.710  0.816  0.933  (0.870)   | 0.683  0.820  0.938  (0.874)  | 19 hr 27 min
0.0010  54.3    2.0 | 0.708  0.818  0.933  (0.871)   | 0.674  0.828  0.936  (0.878)  | 19 hr 30 min
0.0010  54.4    2.0 | 0.707  0.817  0.934  (0.871)   | 0.632  0.837  0.947  (0.888)  | 19 hr 32 min
0.0010  54.5    2.1 | 0.707  0.818  0.933  (0.871)   | 0.683  0.826  0.935  (0.876)  | 19 hr 34 min
0.0010  54.6    2.1 | 0.703  0.818  0.934  (0.872)   | 0.670  0.825  0.938  (0.878)  | 19 hr 36 min
0.0010  54.7    2.1 | 0.706  0.817  0.933  (0.871)   | 0.676  0.828  0.936  (0.878)  | 19 hr 38 min
0.0010  54.8    2.1 | 0.709  0.817  0.933  (0.871)   | 0.650  0.833  0.943  (0.884)  | 19 hr 40 min
0.0010  54.9    2.1 | 0.707  0.816  0.933  (0.870)   | 0.676  0.825  0.937  (0.877)  | 19 hr 42 min
0.0010  55.0    2.1 | 0.708  0.817  0.933  (0.871)   | 0.655  0.835  0.940  (0.884)  | 19 hr 45 min
0.0010  55.1    2.1 | 0.705  0.818  0.934  (0.872)   | 0.694  0.822  0.937  (0.875)  | 19 hr 47 min
0.0010  55.2    2.1 | 0.706  0.818  0.934  (0.872)   | 0.681  0.832  0.939  (0.881)  | 19 hr 49 min
0.0010  55.3    2.1 | 0.703  0.819  0.935  (0.872)   | 0.678  0.830  0.936  (0.879)  | 19 hr 51 min
0.0010  55.4    2.1 | 0.705  0.819  0.934  (0.872)   | 0.639  0.834  0.942  (0.883)  | 19 hr 53 min
0.0010  55.5    2.1 | 0.701  0.818  0.934  (0.872)   | 0.644  0.837  0.942  (0.885)  | 19 hr 55 min
0.0010  55.6    2.1 | 0.704  0.818  0.934  (0.872)   | 0.672  0.829  0.935  (0.878)  | 19 hr 57 min
0.0010  55.7    2.1 | 0.701  0.819  0.935  (0.873)   | 0.671  0.826  0.938  (0.878)  | 20 hr 00 min
0.0010  55.8    2.1 | 0.702  0.818  0.934  (0.872)   | 0.684  0.822  0.937  (0.876)  | 20 hr 02 min
0.0010  55.9    2.1 | 0.697  0.820  0.935  (0.873)   | 0.645  0.837  0.942  (0.885)  | 20 hr 04 min
0.0010  56.0    2.1 | 0.698  0.820  0.935  (0.873)*  | 0.677  0.826  0.937  (0.877)  | 20 hr 06 min
0.0010  56.1    2.1 | 0.698  0.820  0.935  (0.873)   | 0.634  0.833  0.942  (0.884)  | 20 hr 08 min
0.0010  56.2    2.1 | 0.698  0.821  0.935  (0.873)   | 0.667  0.827  0.940  (0.879)  | 20 hr 10 min
0.0010  56.3    2.1 | 0.697  0.820  0.934  (0.873)   | 0.669  0.833  0.938  (0.882)  | 20 hr 12 min
0.0010  56.4    2.1 | 0.700  0.819  0.935  (0.872)   | 0.681  0.829  0.935  (0.878)  | 20 hr 15 min
0.0010  56.5    2.1 | 0.697  0.819  0.934  (0.873)   | 0.656  0.830  0.938  (0.880)  | 20 hr 17 min
0.0010  56.6    2.1 | 0.699  0.821  0.934  (0.873)   | 0.633  0.841  0.940  (0.887)  | 20 hr 19 min
0.0010  56.7    2.1 | 0.696  0.821  0.935  (0.873)   | 0.627  0.832  0.945  (0.885)  | 20 hr 21 min
0.0010  56.8    2.1 | 0.695  0.822  0.935  (0.874)   | 0.645  0.838  0.940  (0.885)  | 20 hr 23 min
0.0010  56.9    2.1 | 0.695  0.822  0.934  (0.874)   | 0.643  0.839  0.938  (0.885)  | 20 hr 25 min
0.0010  57.0    2.1 | 0.693  0.821  0.935  (0.874)   | 0.622  0.838  0.945  (0.888)  | 20 hr 28 min
0.0010  57.1    2.1 | 0.695  0.821  0.935  (0.873)   | 0.644  0.832  0.942  (0.883)  | 20 hr 30 min
0.0010  57.2    2.2 | 0.692  0.822  0.936  (0.874)   | 0.621  0.840  0.945  (0.889)  | 20 hr 32 min
0.0010  57.3    2.2 | 0.696  0.820  0.936  (0.873)   | 0.638  0.836  0.942  (0.885)  | 20 hr 34 min
0.0010  57.4    2.2 | 0.695  0.820  0.936  (0.873)   | 0.631  0.834  0.944  (0.885)  | 20 hr 36 min
0.0010  57.5    2.2 | 0.697  0.820  0.934  (0.873)   | 0.655  0.838  0.942  (0.886)  | 20 hr 38 min
0.0010  57.6    2.2 | 0.698  0.819  0.934  (0.872)   | 0.662  0.837  0.937  (0.883)  | 20 hr 40 min

--- [START 2018-11-13_19-52-16] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = C:\Users\Admin\Desktop\doodle\code
	__file__     = baseline_25k
	out_dir      = ../../output

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 320
train_dataset : 
	split        = train_0
	mode         = train
	complexity   = simplified
	len(self.id) = 8500000


valid_dataset : 
	split        = valid_0
	mode         = train
	complexity   = simplified
	len(self.id) = 27200



** net setting **
	initial_checkpoint = ../../output/backup/873_crop.pth
<class 'model_seresnext50.Net'>
criterion=<function softmax_cross_entropy_criterion at 0x000001AEFC86A0D0>

schduler
  (Exp) Decay Learning Rates
base_lr=0.001, decay=0.100, step=53125.000

** start training here! **
                    |------------ VALID -------------|-------- TRAIN/BATCH ----------|         
rate   iter  epoch  | loss   acc-1  acc-3   lb       | loss   acc-1  acc-3   lb      |  time   
----------------------------------------------------------------------------------------------------
0.0010   0.1    0.0 | 0.659  0.830  0.939  (0.881)   | 0.632  0.833  0.947  (0.886)  |  0 hr 02 min
0.0010   0.2    0.0 | 0.658  0.830  0.939  (0.880)   | 0.651  0.836  0.936  (0.882)  |  0 hr 04 min
0.0010   0.3    0.0 | 0.659  0.829  0.939  (0.880)   | 0.668  0.832  0.937  (0.880)  |  0 hr 06 min
0.0010   0.4    0.0 | 0.658  0.830  0.939  (0.881)   | 0.655  0.831  0.937  (0.880)  |  0 hr 09 min
0.0010   0.5    0.0 | 0.659  0.830  0.939  (0.881)   | 0.644  0.837  0.942  (0.886)  |  0 hr 11 min
0.0010   0.6    0.0 | 0.658  0.830  0.939  (0.881)   | 0.664  0.833  0.940  (0.882)  |  0 hr 13 min
0.0010   0.7    0.0 | 0.658  0.829  0.940  (0.881)   | 0.645  0.838  0.940  (0.885)  |  0 hr 15 min
0.0010   0.8    0.0 | 0.657  0.830  0.940  (0.881)   | 0.663  0.834  0.939  (0.883)  |  0 hr 18 min
0.0010   0.9    0.0 | 0.657  0.831  0.939  (0.881)   | 0.611  0.838  0.946  (0.888)  |  0 hr 20 min
0.0010   1.0    0.0 | 0.657  0.830  0.940  (0.881)   | 0.672  0.830  0.938  (0.880)  |  0 hr 22 min
0.0010   1.1    0.0 | 0.657  0.830  0.940  (0.881)   | 0.630  0.836  0.943  (0.886)  |  0 hr 25 min
0.0010   1.2    0.0 | 0.656  0.830  0.940  (0.881)   | 0.620  0.839  0.945  (0.888)  |  0 hr 27 min
0.0010   1.3    0.0 | 0.657  0.830  0.940  (0.881)   | 0.666  0.835  0.933  (0.881)  |  0 hr 29 min
0.0010   1.4    0.1 | 0.656  0.829  0.940  (0.881)   | 0.651  0.835  0.941  (0.883)  |  0 hr 31 min
0.0010   1.5    0.1 | 0.656  0.829  0.940  (0.880)   | 0.632  0.839  0.942  (0.887)  |  0 hr 34 min
0.0010   1.6    0.1 | 0.655  0.830  0.941  (0.881)   | 0.656  0.827  0.938  (0.878)  |  0 hr 36 min
0.0010   1.7    0.1 | 0.655  0.830  0.940  (0.881)   | 0.651  0.832  0.938  (0.881)  |  0 hr 38 min
0.0010   1.8    0.1 | 0.655  0.830  0.940  (0.881)   | 0.645  0.835  0.940  (0.884)  |  0 hr 40 min
0.0010   1.9    0.1 | 0.654  0.829  0.939  (0.881)   | 0.658  0.832  0.935  (0.880)  |  0 hr 43 min
0.0010   2.0    0.1 | 0.654  0.830  0.940  (0.881)*  | 0.679  0.828  0.932  (0.876)  |  0 hr 45 min
