
--- [START 2018-11-12_01-05-46] ----------------------------------------------------------------

	SEED         = 35202
	PROJECT_PATH = C:\Users\Admin\Desktop\doodle\code
	__file__     = baseline_25k
	out_dir      = ../../output

	<additional comments>
	  ... xxx baseline  ... 

** dataset setting **
batch_size = 320
train_dataset : 
	split        = train_0
	mode         = train
	complexity   = simplified
	len(self.id) = 8500000


valid_dataset : 
	split        = valid_0
	mode         = train
	complexity   = simplified
	len(self.id) = 27200



** net setting **
	initial_checkpoint = ../../output/backup/color_model_885.pth
<class 'model_seresnext50.Net'>
criterion=<function softmax_cross_entropy_criterion at 0x000001F743A0B0D0>

schduler
  (Exp) Decay Learning Rates
base_lr=0.010, decay=0.100, step=53125.000

** start training here! **
                    |------------ VALID -------------|-------- TRAIN/BATCH ----------|         
rate   iter  epoch  | loss   acc-1  acc-3   lb       | loss   acc-1  acc-3   lb      |  time   
----------------------------------------------------------------------------------------------------
0.0100   6.0    0.2 | 0.789  0.797  0.924  (0.855)*  | 0.762  0.804  0.927  (0.861)  |  2 hr 11 min
0.0100   6.1    0.2 | 0.801  0.795  0.923  (0.854)   | 0.757  0.808  0.929  (0.863)  |  2 hr 13 min
0.0100   6.2    0.2 | 0.788  0.797  0.924  (0.856)   | 0.801  0.793  0.923  (0.853)  |  2 hr 15 min
0.0100   6.3    0.2 | 0.790  0.797  0.923  (0.855)   | 0.782  0.797  0.921  (0.854)  |  2 hr 17 min
0.0100   6.4    0.2 | 0.795  0.795  0.922  (0.854)   | 0.767  0.810  0.926  (0.864)  |  2 hr 19 min
0.0100   6.5    0.2 | 0.782  0.799  0.925  (0.857)   | 0.774  0.803  0.924  (0.859)  |  2 hr 22 min
0.0100   6.6    0.2 | 0.801  0.795  0.922  (0.854)   | 0.757  0.810  0.928  (0.864)  |  2 hr 24 min
0.0100   6.7    0.3 | 0.788  0.797  0.925  (0.856)   | 0.769  0.800  0.928  (0.859)  |  2 hr 26 min
0.0100   6.8    0.3 | 0.776  0.801  0.926  (0.858)   | 0.778  0.805  0.925  (0.860)  |  2 hr 28 min
0.0100   6.9    0.3 | 0.804  0.795  0.922  (0.853)   | 0.761  0.808  0.928  (0.863)  |  2 hr 30 min
0.0100   7.0    0.3 | 0.773  0.801  0.925  (0.858)   | 0.738  0.805  0.934  (0.865)  |  2 hr 32 min
0.0100   7.1    0.3 | 0.785  0.796  0.924  (0.855)   | 0.742  0.812  0.928  (0.865)  |  2 hr 35 min
0.0100   7.2    0.3 | 0.774  0.801  0.925  (0.858)   | 0.798  0.797  0.922  (0.854)  |  2 hr 37 min
0.0100   7.3    0.3 | 0.790  0.795  0.924  (0.855)   | 0.794  0.800  0.924  (0.857)  |  2 hr 39 min
0.0100   7.4    0.3 | 0.769  0.802  0.926  (0.860)   | 0.770  0.810  0.928  (0.864)  |  2 hr 41 min
0.0100   7.5    0.3 | 0.801  0.796  0.921  (0.853)   | 0.782  0.803  0.926  (0.860)  |  2 hr 43 min
0.0100   7.6    0.3 | 0.770  0.802  0.926  (0.859)   | 0.757  0.806  0.932  (0.865)  |  2 hr 45 min
0.0100   7.7    0.3 | 0.789  0.797  0.923  (0.855)   | 0.779  0.803  0.925  (0.859)  |  2 hr 47 min
0.0100   7.8    0.3 | 0.768  0.802  0.927  (0.860)   | 0.743  0.810  0.928  (0.864)  |  2 hr 50 min
0.0100   7.9    0.3 | 0.777  0.800  0.926  (0.858)   | 0.797  0.797  0.920  (0.854)  |  2 hr 52 min
0.0100   8.0    0.3 | 0.777  0.801  0.926  (0.859)*  | 0.769  0.804  0.930  (0.862)  |  2 hr 54 min
0.0100   8.1    0.3 | 0.778  0.800  0.926  (0.858)   | 0.797  0.799  0.923  (0.857)  |  2 hr 56 min
0.0100   8.2    0.3 | 0.781  0.799  0.926  (0.858)   | 0.797  0.799  0.921  (0.855)  |  2 hr 58 min
0.0100   8.3    0.3 | 0.789  0.798  0.924  (0.856)   | 0.765  0.804  0.926  (0.860)  |  3 hr 00 min
0.0100   8.4    0.3 | 0.785  0.799  0.925  (0.857)   | 0.771  0.804  0.922  (0.859)  |  3 hr 03 min
0.0100   8.5    0.3 | 0.780  0.796  0.926  (0.856)   | 0.787  0.799  0.924  (0.856)  |  3 hr 05 min
0.0100   8.6    0.3 | 0.784  0.798  0.926  (0.857)   | 0.753  0.807  0.932  (0.865)  |  3 hr 07 min
0.0100   8.7    0.3 | 0.773  0.802  0.927  (0.860)   | 0.765  0.809  0.932  (0.865)  |  3 hr 09 min
0.0100   8.8    0.3 | 0.757  0.806  0.928  (0.862)   | 0.730  0.812  0.931  (0.867)  |  3 hr 11 min
0.0100   8.9    0.3 | 0.774  0.801  0.926  (0.859)   | 0.718  0.821  0.934  (0.873)  |  3 hr 13 min
0.0100   9.0    0.3 | 0.775  0.799  0.925  (0.857)   | 0.781  0.801  0.925  (0.858)  |  3 hr 16 min
0.0100   9.1    0.3 | 0.786  0.797  0.925  (0.856)   | 0.799  0.796  0.922  (0.854)  |  3 hr 18 min
0.0100   9.2    0.3 | 0.803  0.794  0.922  (0.853)   | 0.785  0.799  0.924  (0.856)  |  3 hr 20 min
0.0100   9.3    0.4 | 0.791  0.797  0.924  (0.856)   | 0.774  0.806  0.925  (0.860)  |  3 hr 22 min
0.0100   9.4    0.4 | 0.780  0.798  0.925  (0.857)   | 0.771  0.808  0.927  (0.864)  |  3 hr 24 min
0.0100   9.5    0.4 | 0.776  0.798  0.925  (0.857)   | 0.757  0.803  0.931  (0.862)  |  3 hr 26 min
